boardType,boardSize,userid,value,key,time,condition
easy,6,7db4f1d2,6_pruned_easy,experimentalCondition,1.51E+12,pruned
easy,6,7db4f1d2,6,boardSize,1.51E+12,pruned
easy,6,7db4f1d2,easy,difficulty,1.51E+12,pruned
easy,6,7db4f1d2,pruned,condition,1.51E+12,pruned
easy,6,7db4f1d2,"{canvasContainerDiv:#canvas-container,nrows:6,ncols:6,cellSize:46,position:[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]],nextPlayer:1,streak:4,turns:3,winPath:[[[1,5],[2,5],[4,5]]],losePath:[[[1,4],[0,5]]],winMove:[f5,F5,5F,5F]}",start_position,1.51E+12,pruned
easy,6,7db4f1d2,28,age,1.51E+12,pruned
easy,6,7db4f1d2,female,gender,1.51E+12,pruned
easy,6,7db4f1d2,2,education,1.51E+12,pruned
easy,6,7db4f1d2,40396,timeInstructions,1.51E+12,pruned
easy,6,7db4f1d2,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",start,1.51E+12,pruned
easy,6,7db4f1d2,3_1_1,clickPos_practice,1.51E+12,pruned
easy,6,7db4f1d2,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",click_practice,1.51E+12,pruned
easy,6,7db4f1d2,3_4_2,clickPos_practice,1.51E+12,pruned
easy,6,7db4f1d2,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,2,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",click_practice,1.51E+12,pruned
easy,6,7db4f1d2,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[1,1,1,1,2,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",click_practice,1.51E+12,pruned
easy,6,7db4f1d2,3_0_1,clickPos_practice,1.51E+12,pruned
easy,6,7db4f1d2,b4,quiz5,1.51E+12,pruned
easy,6,7db4f1d2,2,quiz2,1.51E+12,pruned
easy,6,7db4f1d2,c1,quiz4,1.51E+12,pruned
easy,6,7db4f1d2,2,quiz1,1.51E+12,pruned
easy,6,7db4f1d2,3,quiz3,1.51E+12,pruned
easy,6,7db4f1d2,130543,timeQuiz,1.51E+12,pruned
easy,6,7db4f1d2,b3,quiz6,1.51E+12,pruned
