"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.surveycode","Approve","Reject"
"3FCO4VKOZ4KH74JHO8DXTA8W8VS7EZ","3EXOM20K1NGP6I373LKRAHMWHFZ5PT","Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.","As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment","$1.50","Thu Apr 04 09:05:33 PDT 2019","9","BatchId:3594924;OriginalHitTemplateId:;","3600","259200","Sat Apr 06 09:05:33 PDT 2019","","","3P1L2B7AD2W4K0J1CIM46BFXWT1LOA","A1FTGHYEU1T71Y","Approved","Thu Apr 04 14:02:21 PDT 2019","Thu Apr 04 14:23:14 PDT 2019","Sun Apr 07 14:23:14 PDT 2019","Fri Apr 05 09:12:33 PDT 2019","","","1253","100% (1/1)","100% (1/1)","100% (1/1)","0","6cb47215|"
"3FCO4VKOZ4KH74JHO8DXTA8W8VS7EZ","3EXOM20K1NGP6I373LKRAHMWHFZ5PT","Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.","As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment","$1.50","Thu Apr 04 09:05:33 PDT 2019","9","BatchId:3594924;OriginalHitTemplateId:;","3600","259200","Sat Apr 06 09:05:33 PDT 2019","","","3G5W44VEU8P58HKL3ZXVM2TGG64KGG","A2HM5H49DEQ8SV","Approved","Thu Apr 04 11:20:55 PDT 2019","Thu Apr 04 11:38:36 PDT 2019","Sun Apr 07 11:38:36 PDT 2019","Fri Apr 05 09:12:33 PDT 2019","","","1061","100% (1/1)","100% (1/1)","100% (1/1)","0","b2d44cf9|"
"3FCO4VKOZ4KH74JHO8DXTA8W8VS7EZ","3EXOM20K1NGP6I373LKRAHMWHFZ5PT","Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.","As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment","$1.50","Thu Apr 04 09:05:33 PDT 2019","9","BatchId:3594924;OriginalHitTemplateId:;","3600","259200","Sat Apr 06 09:05:33 PDT 2019","","","3TUI152ZZCUUF5SDYLWPB11JDNBQ1C","A2IJJOV2S8AYLW","Approved","Thu Apr 04 11:33:59 PDT 2019","Thu Apr 04 11:44:50 PDT 2019","Sun Apr 07 11:44:50 PDT 2019","Fri Apr 05 09:12:33 PDT 2019","","","651","100% (1/1)","100% (1/1)","100% (1/1)","0","99b44e42|"
"3FCO4VKOZ4KH74JHO8DXTA8W8VS7EZ","3EXOM20K1NGP6I373LKRAHMWHFZ5PT","Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.","As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment","$1.50","Thu Apr 04 09:05:33 PDT 2019","9","BatchId:3594924;OriginalHitTemplateId:;","3600","259200","Sat Apr 06 09:05:33 PDT 2019","","","34QN5IT0T0YO2C7ZG8BPB5X9EOT80O","A2KVYRNL2CK95F","Approved","Thu Apr 04 09:06:01 PDT 2019","Thu Apr 04 09:48:11 PDT 2019","Sun Apr 07 09:48:11 PDT 2019","Fri Apr 05 09:12:32 PDT 2019","","","2530","100% (1/1)","100% (1/1)","100% (1/1)","0","8af4330d|"
"3FCO4VKOZ4KH74JHO8DXTA8W8VS7EZ","3EXOM20K1NGP6I373LKRAHMWHFZ5PT","Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.","As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment","$1.50","Thu Apr 04 09:05:33 PDT 2019","9","BatchId:3594924;OriginalHitTemplateId:;","3600","259200","Sat Apr 06 09:05:33 PDT 2019","","","3OVR4I9USQQB74PWL3FR9Z8MP7S4QA","A2NLAKN6UQK125","Approved","Thu Apr 04 11:43:22 PDT 2019","Thu Apr 04 12:03:16 PDT 2019","Sun Apr 07 12:03:16 PDT 2019","Fri Apr 05 09:12:33 PDT 2019","","","1194","100% (1/1)","100% (1/1)","100% (1/1)","0","93a45177|"
"3FCO4VKOZ4KH74JHO8DXTA8W8VS7EZ","3EXOM20K1NGP6I373LKRAHMWHFZ5PT","Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.","As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment","$1.50","Thu Apr 04 09:05:33 PDT 2019","9","BatchId:3594924;OriginalHitTemplateId:;","3600","259200","Sat Apr 06 09:05:33 PDT 2019","","","3H7XDTSHKDYW3HE2SDGYADNB3CXGWQ","A2SNZOY3RDSJ9A","Approved","Thu Apr 04 10:29:35 PDT 2019","Thu Apr 04 11:23:11 PDT 2019","Sun Apr 07 11:23:11 PDT 2019","Fri Apr 05 09:12:33 PDT 2019","","","3216","100% (1/1)","100% (1/1)","100% (1/1)","0","9df449da|"
"3FCO4VKOZ4KH74JHO8DXTA8W8VS7EZ","3EXOM20K1NGP6I373LKRAHMWHFZ5PT","Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.","As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment","$1.50","Thu Apr 04 09:05:33 PDT 2019","9","BatchId:3594924;OriginalHitTemplateId:;","3600","259200","Sat Apr 06 09:05:33 PDT 2019","","","3Z7ISHFUH12L4XDPK2OHH40VWVI8ZM","A2YAYHZYI7M3HD","Approved","Thu Apr 04 09:40:43 PDT 2019","Thu Apr 04 09:50:18 PDT 2019","Sun Apr 07 09:50:18 PDT 2019","Fri Apr 05 09:12:33 PDT 2019","","","575","100% (1/1)","100% (1/1)","100% (1/1)","0","cda434a5|"
"3FCO4VKOZ4KH74JHO8DXTA8W8VS7EZ","3EXOM20K1NGP6I373LKRAHMWHFZ5PT","Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.","As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment","$1.50","Thu Apr 04 09:05:33 PDT 2019","9","BatchId:3594924;OriginalHitTemplateId:;","3600","259200","Sat Apr 06 09:05:33 PDT 2019","","","3SNVL38CI5ZSR54G1D1CWB81IDKCK4","A31FD3QCYZ28Q2","Approved","Thu Apr 04 09:35:35 PDT 2019","Thu Apr 04 10:03:54 PDT 2019","Sun Apr 07 10:03:54 PDT 2019","Fri Apr 05 09:12:33 PDT 2019","","","1699","100% (1/1)","100% (1/1)","100% (1/1)","0","18a4334a|"
"3FCO4VKOZ4KH74JHO8DXTA8W8VS7EZ","3EXOM20K1NGP6I373LKRAHMWHFZ5PT","Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.","As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment","$1.50","Thu Apr 04 09:05:33 PDT 2019","9","BatchId:3594924;OriginalHitTemplateId:;","3600","259200","Sat Apr 06 09:05:33 PDT 2019","","","33TIN5LC05HLDCMUT8SC3TM4A7PY93","ANQ0RLFEZ17W0","Approved","Thu Apr 04 09:13:56 PDT 2019","Thu Apr 04 10:08:50 PDT 2019","Sun Apr 07 10:08:50 PDT 2019","Fri Apr 05 09:12:32 PDT 2019","","","3294","100% (1/1)","100% (1/1)","100% (1/1)","0","27e436f9|Very fun study!"
"3B9J25CZ25KOT4JVGK5DYD4PAXRSCD","3EXOM20K1NGP6I373LKRAHMWHFZ5PT","Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.","As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment","$1.50","Thu Apr 04 09:05:33 PDT 2019","9","BatchId:3594924;OriginalHitTemplateId:;","3600","259200","Sat Apr 06 09:05:33 PDT 2019","","","3C5W7UE9CGXBKRFEDLAFP1LF80DMXV","A1E8X6IHTIN1AT","Approved","Thu Apr 04 09:56:42 PDT 2019","Thu Apr 04 10:10:17 PDT 2019","Sun Apr 07 10:10:17 PDT 2019","Fri Apr 05 09:12:32 PDT 2019","","","815","100% (1/1)","100% (1/1)","100% (1/1)","0","no code|nice"
"3B9J25CZ25KOT4JVGK5DYD4PAXRSCD","3EXOM20K1NGP6I373LKRAHMWHFZ5PT","Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.","As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment","$1.50","Thu Apr 04 09:05:33 PDT 2019","9","BatchId:3594924;OriginalHitTemplateId:;","3600","259200","Sat Apr 06 09:05:33 PDT 2019","","","39U1BHVTDMY3HOYK2T434ZR3VECT39","A1I0DV4B4MFQCL","Approved","Thu Apr 04 13:34:38 PDT 2019","Thu Apr 04 13:52:03 PDT 2019","Sun Apr 07 13:52:03 PDT 2019","Fri Apr 05 09:12:32 PDT 2019","","","1045","100% (1/1)","100% (1/1)","100% (1/1)","0","cfc46a6f|"
"3B9J25CZ25KOT4JVGK5DYD4PAXRSCD","3EXOM20K1NGP6I373LKRAHMWHFZ5PT","Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.","As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment","$1.50","Thu Apr 04 09:05:33 PDT 2019","9","BatchId:3594924;OriginalHitTemplateId:;","3600","259200","Sat Apr 06 09:05:33 PDT 2019","","","3HFNH7HEMILRJKIGG4HSIO5PFBJQGZ","A1WJ3EZ6LXN7B1","Approved","Thu Apr 04 10:24:37 PDT 2019","Thu Apr 04 10:35:45 PDT 2019","Sun Apr 07 10:35:45 PDT 2019","Fri Apr 05 09:12:32 PDT 2019","","","668","100% (1/1)","100% (1/1)","100% (1/1)","0","74d43e43|"
"3B9J25CZ25KOT4JVGK5DYD4PAXRSCD","3EXOM20K1NGP6I373LKRAHMWHFZ5PT","Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.","As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment","$1.50","Thu Apr 04 09:05:33 PDT 2019","9","BatchId:3594924;OriginalHitTemplateId:;","3600","259200","Sat Apr 06 09:05:33 PDT 2019","","","3R0T90IZ1TJNPJ8XBMGXYJG8BWECGC","A2C6HMH2FDM2CI","Approved","Thu Apr 04 10:00:33 PDT 2019","Thu Apr 04 10:19:05 PDT 2019","Sun Apr 07 10:19:05 PDT 2019","Fri Apr 05 09:12:32 PDT 2019","","","1112","100% (1/1)","100% (1/1)","100% (1/1)","0","f8a4386a|"
"3B9J25CZ25KOT4JVGK5DYD4PAXRSCD","3EXOM20K1NGP6I373LKRAHMWHFZ5PT","Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.","As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment","$1.50","Thu Apr 04 09:05:33 PDT 2019","9","BatchId:3594924;OriginalHitTemplateId:;","3600","259200","Sat Apr 06 09:05:33 PDT 2019","","","37XITHEISXGEE9HBRXA9XNUFD5ECRX","A2H5UA2MUBT4QX","Approved","Thu Apr 04 09:38:09 PDT 2019","Thu Apr 04 09:54:33 PDT 2019","Sun Apr 07 09:54:33 PDT 2019","Fri Apr 05 09:12:32 PDT 2019","","","984","100% (1/1)","100% (1/1)","100% (1/1)","0","8cc432fc|"
"3B9J25CZ25KOT4JVGK5DYD4PAXRSCD","3EXOM20K1NGP6I373LKRAHMWHFZ5PT","Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.","As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment","$1.50","Thu Apr 04 09:05:33 PDT 2019","9","BatchId:3594924;OriginalHitTemplateId:;","3600","259200","Sat Apr 06 09:05:33 PDT 2019","","","3IX2EGZR7CQ1MNNH1PRVKR7A3QGJRD","A38F8U7SZ7CE1Y","Approved","Thu Apr 04 11:25:36 PDT 2019","Thu Apr 04 12:00:25 PDT 2019","Sun Apr 07 12:00:25 PDT 2019","Fri Apr 05 09:12:32 PDT 2019","","","2089","100% (1/1)","100% (1/1)","100% (1/1)","0","c3b45154|"
"3B9J25CZ25KOT4JVGK5DYD4PAXRSCD","3EXOM20K1NGP6I373LKRAHMWHFZ5PT","Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.","As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment","$1.50","Thu Apr 04 09:05:33 PDT 2019","9","BatchId:3594924;OriginalHitTemplateId:;","3600","259200","Sat Apr 06 09:05:33 PDT 2019","","","3WJEQKOXA992SPLW9PZ3L1ME94ZA1X","A3LYQ5490FJYXK","Approved","Thu Apr 04 09:41:35 PDT 2019","Thu Apr 04 10:01:26 PDT 2019","Sun Apr 07 10:01:26 PDT 2019","Fri Apr 05 09:12:32 PDT 2019","","","1191","100% (1/1)","100% (1/1)","100% (1/1)","0","92d4349b|"
"3B9J25CZ25KOT4JVGK5DYD4PAXRSCD","3EXOM20K1NGP6I373LKRAHMWHFZ5PT","Solve a challenging problem! can earn $1 bonus. Takes ~15 minutes.","As part of a study on human problem solving, you will be asked to solve a hard puzzle.","puzzle, problem solving, research, study, experiment","$1.50","Thu Apr 04 09:05:33 PDT 2019","9","BatchId:3594924;OriginalHitTemplateId:;","3600","259200","Sat Apr 06 09:05:33 PDT 2019","","","3VD82FOHKRVBHWPVZ5T53SPA2IDCO7","ABL81LYVZUKYE","Approved","Thu Apr 04 10:42:18 PDT 2019","Thu Apr 04 10:50:47 PDT 2019","Sun Apr 07 10:50:47 PDT 2019","Fri Apr 05 09:12:32 PDT 2019","","","509","100% (1/1)","100% (1/1)","100% (1/1)","0","15c4420d|"
