,move_limit,noise,k,board,tradeoff
0,30,0.0,3,10_easy_full,0
1,30,0.0,3,10_easy_pruned,0
2,30,0.0,3,10_hard_full,0
3,30,0.0,3,10_hard_pruned,0
4,30,0.0,3,10_medium_full,0
5,30,0.0,3,10_medium_pruned,0
6,30,0.0,3,6_easy_full,0
7,30,0.0,3,6_easy_pruned,0
8,30,0.0,3,6_hard_full,0
9,30,0.0,3,6_hard_pruned,0
10,30,0.0,5,10_easy_full,0
11,30,0.0,5,10_easy_pruned,1
12,30,0.0,5,10_hard_full,0
13,30,0.0,5,10_hard_pruned,0
14,30,0.0,5,10_medium_full,0
15,30,0.0,5,10_medium_pruned,0
16,30,0.0,5,6_easy_full,0
17,30,0.0,5,6_easy_pruned,0
18,30,0.0,5,6_hard_full,0
19,30,0.0,5,6_hard_pruned,0
20,30,0.0,10,10_easy_full,0
21,30,0.0,10,10_easy_pruned,0
22,30,0.0,10,10_hard_full,0
23,30,0.0,10,10_hard_pruned,0
24,30,0.0,10,10_medium_full,1
25,30,0.0,10,10_medium_pruned,0
26,30,0.0,10,6_easy_full,0
27,30,0.0,10,6_easy_pruned,0
28,30,0.0,10,6_hard_full,0
29,30,0.0,10,6_hard_pruned,0
30,30,0.25,3,10_easy_full,1
31,30,0.25,3,10_easy_pruned,0
32,30,0.25,3,10_hard_full,1
33,30,0.25,3,10_hard_pruned,0
34,30,0.25,3,10_medium_full,0
35,30,0.25,3,10_medium_pruned,1
36,30,0.25,3,6_easy_full,0
37,30,0.25,3,6_easy_pruned,0
38,30,0.25,3,6_hard_full,0
39,30,0.25,3,6_hard_pruned,1
40,30,0.25,5,10_easy_full,0
41,30,0.25,5,10_easy_pruned,0
42,30,0.25,5,10_hard_full,0
43,30,0.25,5,10_hard_pruned,0
44,30,0.25,5,10_medium_full,0
45,30,0.25,5,10_medium_pruned,0
46,30,0.25,5,6_easy_full,1
47,30,0.25,5,6_easy_pruned,0
48,30,0.25,5,6_hard_full,0
49,30,0.25,5,6_hard_pruned,0
50,30,0.25,10,10_easy_full,0
51,30,0.25,10,10_easy_pruned,1
52,30,0.25,10,10_hard_full,0
