,board_name,path,path_length,probability
0,6_hard_full,"[[5, 0, 1], [3, 2, 2], [2, 0, 1], [2, 2, 2], [4, 3, 1], [0, 2, 2]]",6,0.002
1,6_hard_full,"[[3, 2, 1], [1, 0, 2], [2, 3, 1], [0, 3, 2], [2, 2, 1], [0, 2, 2]]",6,0.002
2,6_hard_full,"[[0, 2, 1], [1, 4, 2], [0, 3, 1], [3, 2, 2], [0, 5, 1]]",5,0.002
3,6_hard_full,"[[0, 2, 1], [3, 2, 2], [0, 3, 1], [1, 0, 2], [0, 5, 1], [2, 0, 2], [3, 0, 1], [2, 4, 2], [4, 2, 1], [2, 3, 2]]",10,0.002
4,6_hard_full,"[[4, 3, 1], [3, 4, 2], [4, 2, 1], [3, 0, 2], [2, 2, 1], [0, 0, 2]]",6,0.002
5,6_hard_full,"[[5, 3, 1], [2, 2, 2]]",2,0.004
6,6_hard_full,"[[2, 3, 1], [2, 2, 2], [4, 5, 1], [0, 5, 2], [3, 4, 1], [0, 3, 2], [4, 4, 1], [2, 0, 2], [0, 0, 1]]",9,0.002
7,6_hard_full,"[[3, 2, 1], [0, 2, 2], [2, 3, 1], [0, 5, 2], [5, 0, 1], [4, 2, 2]]",6,0.002
8,6_hard_full,"[[4, 3, 1], [3, 2, 2], [4, 2, 1], [2, 3, 2], [4, 4, 1], [0, 3, 2], [4, 0, 1], [1, 5, 2], [4, 5, 1]]",9,0.002
9,6_hard_full,"[[1, 4, 1], [3, 2, 2], [2, 4, 1], [2, 2, 2], [3, 4, 1]]",5,0.002
10,6_hard_full,"[[0, 0, 1], [2, 0, 2], [4, 2, 1], [0, 2, 2], [3, 2, 1], [5, 0, 2], [4, 0, 1]]",7,0.002
11,6_hard_full,"[[3, 2, 1], [2, 0, 2], [2, 3, 1], [1, 4, 2], [5, 0, 1], [0, 0, 2], [2, 2, 1], [4, 0, 2], [2, 4, 1], [4, 2, 2]]",10,0.002
12,6_hard_full,"[[3, 2, 1], [4, 0, 2], [2, 3, 1], [4, 3, 2], [2, 2, 1], [0, 3, 2], [1, 4, 1], [0, 5, 2], [4, 2, 1], [5, 3, 2]]",10,0.002
13,6_hard_full,"[[3, 2, 1], [5, 0, 2], [2, 2, 1], [2, 3, 2], [4, 2, 1], [3, 0, 2]]",6,0.002
14,6_hard_full,"[[1, 0, 1], [3, 2, 2], [3, 0, 1], [2, 0, 2], [0, 3, 1]]",5,0.002
15,6_hard_full,"[[2, 4, 1], [1, 0, 2], [2, 2, 1], [0, 2, 2], [3, 2, 1], [4, 2, 2], [1, 4, 1], [2, 3, 2], [4, 3, 1], [4, 0, 2]]",10,0.002
16,6_hard_full,"[[4, 3, 1], [3, 0, 2], [4, 2, 1], [2, 3, 2], [3, 2, 1], [2, 0, 2], [1, 0, 1]]",7,0.002
17,6_hard_full,"[[1, 0, 1], [4, 3, 2], [2, 3, 1]]",3,0.002
18,6_hard_full,"[[1, 4, 1], [2, 3, 2]]",2,0.002
19,6_hard_full,"[[2, 3, 1], [1, 0, 2], [2, 2, 1], [4, 0, 2], [3, 2, 1], [5, 0, 2], [1, 4, 1]]",7,0.002
20,6_hard_full,"[[2, 0, 1], [1, 4, 2], [4, 0, 1], [0, 2, 2], [2, 2, 1], [3, 0, 2]]",6,0.002
21,6_hard_full,"[[2, 3, 1], [4, 2, 2], [2, 4, 1], [2, 5, 2], [0, 3, 1], [5, 3, 2], [3, 4, 1], [3, 2, 2], [3, 0, 1], [1, 5, 2]]",10,0.002
22,6_hard_full,"[[1, 5, 1], [2, 5, 2], [3, 2, 1], [0, 3, 2], [2, 3, 1], [3, 0, 2], [5, 0, 1], [4, 0, 2]]",8,0.002
23,6_hard_full,"[[2, 3, 1], [0, 3, 2], [2, 2, 1], [3, 0, 2]]",4,0.002
24,6_hard_full,"[[2, 3, 1], [4, 3, 2], [3, 4, 1], [0, 5, 2], [4, 5, 1], [3, 2, 2], [2, 2, 1], [5, 3, 2], [2, 0, 1]]",9,0.002
25,6_hard_full,"[[1, 4, 1], [0, 3, 2], [2, 3, 1], [2, 5, 2], [2, 2, 1], [0, 2, 2], [3, 4, 1]]",7,0.002
26,6_hard_full,"[[3, 0, 1], [4, 2, 2], [0, 3, 1], [1, 4, 2], [2, 4, 1], [2, 0, 2], [2, 3, 1], [3, 2, 2], [2, 2, 1]]",9,0.002
27,6_hard_full,"[[5, 0, 1], [2, 4, 2], [4, 2, 1], [2, 2, 2], [4, 4, 1], [3, 2, 2], [4, 3, 1], [1, 4, 2]]",8,0.002
28,6_hard_full,"[[0, 3, 1], [1, 0, 2], [2, 3, 1]]",3,0.002
29,6_hard_full,"[[3, 2, 1], [2, 3, 2], [5, 2, 1], [4, 2, 2], [3, 5, 1], [2, 2, 2]]",6,0.002
30,6_hard_full,"[[2, 3, 1], [4, 0, 2], [2, 2, 1], [0, 5, 2]]",4,0.004
31,6_hard_full,"[[2, 3, 1], [5, 3, 2], [5, 2, 1]]",3,0.004
