userid,board_name,board_size,board_type,condition,solved,action,time,time_rel,player,score_move,score_move_non_zero,move_ranking,top_possible_score,second_possible_score,num_possible_moves,delta_score,deltaScoreByScore,path,move_prob,path_prob,path_number,board_state,position,time_from_action,time_from_click,prev_action,move_number,move_number_in_path,first_move_in_path,time_prev_action
14b4c043,6_hard_full,6,hard,full,wrong,reset,1.52199E+12,47355,1,8.430386905,8.430386905,,,,,8.430386905,1,"[[2, 3, 1]]",0.122483716,0.122483716,1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 1, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,8.229,8.229,click,,1,,1.52199E+12
14b4c043,6_hard_full,6,hard,full,wrong,reset,1.52199E+12,146377,1,5.457121599,5.457121599,,,,,5.457121599,1,"[[2, 2, 1]]",0.079285732,0.079285732,2,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,2.806,2.806,click,,1,,1.52199E+12
14b4c043,6_hard_full,6,hard,full,wrong,reset,1.52199E+12,161959,2,-10000,-10000,,,,,-10005.45712,-1.000545712,"[[2, 2, 1], [2, 3, 2]]",0.990355688,0.078521075,3,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,2.265,2.265,click,,2,,1.52199E+12
14c5dc72,6_hard_full,6,hard,full,wrong,reset,1.52206E+12,57601,1,12.08333333,12.08333333,,,,,12.08333333,1,"[[3, 0, 1]]",0.175556652,0.175556652,1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [1, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,13.652,13.652,click,,1,,1.52206E+12
14c5dc72,6_hard_full,6,hard,full,wrong,reset,1.52206E+12,71242,1,8.430386905,8.430386905,,,,,8.430386905,1,"[[2, 3, 1]]",0.122483716,0.122483716,2,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 1, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,9.854,9.854,click,,1,,1.52206E+12
14c5dc72,6_hard_full,6,hard,full,wrong,reset,1.52206E+12,95191,2,-4.084376417,-4.084376417,,,,,9995.915624,2447.354162,"[[2, 2, 1], [2, 3, 2], [4, 3, 1], [3, 2, 2]]",0.0004057,1.39E-06,3,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [0, 1, 2, 2, 0, 0], [0, 1, 0, 1, 0, 0], [0, 2, 0, 0, 2, 0]]",,5.771,5.771,click,,4,,1.52206E+12
14c5dc72,6_hard_full,6,hard,full,wrong,reset,1.52206E+12,150068,2,-8.157467404,-8.157467404,,,,,-29.92021259,-3.667831093,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [2, 2, 1], [3, 2, 2]]",1,0.01517914,4,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [0, 1, 1, 0, 0, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,12.831,12.831,click,,6,,1.52206E+12
17b4c1ea,6_hard_full,6,hard,full,wrong,reset,1.52199E+12,64563,2,-10000,-10000,,,,,0,0,"[[2, 3, 1], [5, 3, 2], [5, 2, 1], [2, 2, 2], [0, 0, 1], [4, 4, 2]]",0.994788891,6.56E-06,1,"[[1, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 2, 1, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 2, 0], [0, 2, 1, 2, 2, 0]]",,3.681,3.681,click,,6,,1.52199E+12
17b4c1ea,6_hard_full,6,hard,full,wrong,reset,1.52199E+12,143324,2,-10000,-10000,,,,,-10005.45712,-1.000545712,"[[2, 2, 1], [2, 3, 2]]",0.990355688,0.078521075,2,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,3.846,3.846,click,,2,,1.52199E+12
17b4c1ea,6_hard_full,6,hard,full,wrong,reset,1.52199E+12,169230,1,8.430386905,8.430386905,,,,,8.430386905,1,"[[2, 3, 1]]",0.122483716,0.122483716,3,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 1, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,23.491,23.491,click,,1,,1.52199E+12
17b4c1ea,6_hard_full,6,hard,full,wrong,reset,1.52199E+12,399893,1,10000,10000,,,,,0,0,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [2, 2, 1], [3, 2, 2], [2, 3, 1], [2, 4, 2], [2, 0, 1]]",0.997611008,8.21E-06,4,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [1, 1, 1, 1, 2, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,49.572,49.572,click,,9,,1.52199E+12
17e120dd,6_hard_full,6,hard,full,validatedCorrect,reset,1.51192E+12,108521,2,-10000,-10000,,,,,-10001.37785,-1.000137785,"[[0, 2, 1], [2, 2, 2]]",0.497239923,1081743.654,3,"[[0, 2, 1, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 2, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,6.727,6.727,click,,2,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,validatedCorrect,reset,1.51192E+12,132856,2,-10000,-10000,,,,,-10001.37785,-1.000137785,"[[0, 2, 1], [2, 2, 2]]",0.497239923,0.009954127,4,"[[0, 2, 1, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 2, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,6.582,6.582,click,,2,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,validatedCorrect,reset,1.51192E+12,153242,2,-10000,-10000,,,,,-10005.45712,-1.000545712,"[[2, 2, 1], [2, 3, 2]]",0.990355688,0.078521075,5,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,9.594,9.594,click,,2,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,validatedCorrect,reset,1.51192E+12,259607,2,-10000,-10000,,,,,-10007.45875,-1.000745875,"[[0, 3, 1], [3, 0, 2], [2, 3, 1], [2, 2, 2]]",0.990065676,0.025106454,7,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 2, 1, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,3.557,3.557,click,,4,,1.51192E+12
17e120dd,6_hard_full,6,hard,full,validatedCorrect,reset,1.51192E+12,448077,1,10000,10000,,,,,0,0,"[[0, 3, 1], [3, 0, 2], [2, 2, 1], [2, 3, 2], [4, 3, 1], [0, 2, 2], [3, 2, 1], [1, 0, 2], [4, 2, 1]]",0.995441141,33384270998,8,"[[0, 2, 2, 1, 1, 0], [2, 2, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [2, 1, 1, 2, 0, 0], [0, 1, 1, 1, 0, 0], [0, 2, 0, 0, 2, 0]]",,48.487,48.487,click,,9,,1.51192E+12
20bfd7bd,6_hard_full,6,hard,full,wrong,reset,1.51191E+12,33692,1,10000,10000,,,,,20000,2,"[[2, 2, 1], [2, 3, 2], [3, 2, 1], [4, 3, 2], [0, 2, 1]]",0.498765238,0.000566647,1,"[[0, 2, 1, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [0, 1, 0, 2, 0, 0], [0, 2, 0, 0, 2, 0]]",,5.87,5.87,click,,5,,1.51191E+12
24a5e25a,6_hard_full,6,hard,full,wrong,reset,1.52207E+12,39667,1,-10000,-10000,,,,,0,0,"[[0, 3, 1], [3, 0, 2], [4, 2, 1], [4, 0, 2], [5, 3, 1], [2, 0, 2], [4, 3, 1]]",0.052631579,5.59E-09,1,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [2, 1, 0, 0, 0, 0], [2, 1, 0, 2, 0, 0], [2, 1, 1, 1, 0, 0], [0, 2, 0, 1, 2, 0]]",,3.492,3.492,click,,7,,1.52207E+12
24a5e25a,6_hard_full,6,hard,full,wrong,reset,1.52207E+12,82844,1,10000,10000,,,,,0,0,"[[0, 3, 1], [3, 0, 2], [2, 2, 1], [3, 2, 2], [2, 3, 1], [2, 0, 2], [2, 4, 1]]",0.99418907,2.37E-05,2,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [2, 1, 1, 1, 1, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,1.007,1.007,click,,7,,1.52207E+12
24a5e25a,6_hard_full,6,hard,full,wrong,reset,1.52207E+12,140319,1,-10000,-10000,,,,,-9988.75,-0.998875,"[[0, 3, 1], [3, 0, 2], [2, 2, 1], [2, 3, 2], [3, 2, 1]]",0.0001,2.17E-07,3,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [2, 1, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,44.238,44.238,click,,5,,1.52207E+12
24f4c091,6_hard_full,6,hard,full,wrong,reset,1.52199E+12,95822,1,-8.157467404,-8.157467404,,,,,-29.92021259,-3.667831093,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [2, 2, 1]]",1,0.01517914,1,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [0, 1, 1, 0, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,1.11,26.946,undo,,5,,1.52199E+12
24f4c091,6_hard_full,6,hard,full,wrong,reset,1.52199E+12,163054,2,-5.611111111,-5.611111111,,,,,9994.388889,1781.178218,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [2, 2, 2], [2, 0, 1], [3, 2, 2], [4, 2, 1], [5, 3, 2], [4, 0, 1], [4, 3, 2]]",0.000140035,1.42E-16,2,"[[0, 2, 0, 2, 1, 0], [0, 2, 1, 2, 0, 0], [1, 1, 2, 1, 0, 0], [1, 1, 2, 2, 0, 0], [1, 1, 1, 2, 0, 0], [0, 2, 0, 2, 2, 0]]",,2.278,2.278,click,,10,,1.52199E+12
24f4c091,6_hard_full,6,hard,full,wrong,reset,1.52199E+12,202086,1,-10000,-10000,,,,,0,0,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [2, 3, 1], [2, 2, 2], [3, 2, 1]]",0.052631579,0.000265263,3,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [0, 1, 2, 1, 0, 0], [2, 1, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,3.92,3.92,click,,7,,1.52199E+12
25a611ff,6_hard_full,6,hard,full,wrong,reset,1.52208E+12,139047,1,15.25,15.25,,,,,15.25,1,"[[0, 3, 1]]",0.221564526,0.221564526,1,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,114.178,114.178,click,,1,,1.52208E+12
26dbf6e9,6_hard_full,6,hard,full,wrong,reset,1.51362E+12,66769,1,10000,10000,,,,,0,0,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [2, 2, 1], [3, 2, 2], [2, 3, 1], [2, 4, 2], [2, 0, 1]]",0.997611008,0.000838064,1,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [1, 1, 1, 1, 2, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,7.05,7.05,click,,9,,1.51362E+12
26dbf6e9,6_hard_full,6,hard,full,wrong,reset,1.51362E+12,91633,1,-10000,-10000,,,,,0,0,"[[2, 2, 1], [2, 3, 2], [3, 0, 1]]",0.043478261,0.00341396,2,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [1, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,3.987,3.987,click,,3,,1.51362E+12
26dbf6e9,6_hard_full,6,hard,full,wrong,reset,1.51362E+12,94893,2,-10000,-10000,,,,,-10005.45712,-1.000545712,"[[2, 2, 1], [2, 3, 2]]",0.990355688,0.078521075,3,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,2.026,2.026,click,,2,,1.51362E+12
26dbf6e9,6_hard_full,6,hard,full,wrong,reset,1.51362E+12,143135,,0,0.02,,,,,,0,[],0.990355688,1,3,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,48.242,50.268,reset,,0,,1.51362E+12
31e63b91,6_hard_full,6,hard,full,wrong,reset,1.52209E+12,78057,2,-1,-1,,,,,9999,9999,"[[3, 4, 1], [2, 4, 2], [0, 2, 1], [0, 3, 2], [3, 0, 1], [3, 2, 2], [2, 2, 1], [2, 3, 2], [2, 0, 1], [4, 0, 2], [5, 2, 1], [4, 2, 2], [4, 3, 1], [2, 5, 2]]",9.98E-05,2.55E-37,1,"[[0, 2, 1, 2, 1, 0], [0, 2, 1, 2, 0, 0], [1, 1, 1, 2, 2, 2], [1, 1, 2, 2, 1, 0], [2, 1, 2, 1, 0, 0], [0, 2, 1, 0, 2, 0]]",,4.998,4.998,click,,14,,1.52209E+12
32ebf2e8,6_hard_full,6,hard,full,wrong,reset,1.51362E+12,37400,2,-1,-1,,,,,-16.25,-16.25,"[[0, 3, 1], [3, 0, 2]]",1,0.221564526,1,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,4.721,4.721,click,,2,,1.51362E+12
32ebf2e8,6_hard_full,6,hard,full,wrong,reset,1.51362E+12,91328,2,-1.5,-1.5,,,,,-12.5,-8.333333333,"[[2, 2, 1], [0, 2, 2], [0, 3, 1], [3, 0, 2], [3, 2, 1], [4, 2, 2], [2, 4, 1], [2, 3, 2], [1, 4, 1], [3, 4, 2], [4, 3, 1], [1, 0, 2]]",1,9.72E-19,2,"[[0, 2, 2, 1, 1, 0], [2, 2, 1, 2, 1, 0], [0, 1, 1, 2, 1, 0], [2, 1, 1, 2, 2, 0], [0, 1, 2, 1, 0, 0], [0, 2, 0, 0, 2, 0]]",,9.9,9.9,click,,12,,1.51362E+12
32ebf2e8,6_hard_full,6,hard,full,wrong,reset,1.51362E+12,148439,2,-16.14,-16.14,,,,,-17.53,-1.086121437,"[[5, 0, 1], [2, 3, 2], [0, 3, 1], [3, 0, 2], [4, 3, 1], [1, 0, 2], [2, 0, 1], [4, 4, 2]]",0.00159869,1.29E-19,3,"[[0, 2, 0, 1, 1, 0], [2, 2, 1, 2, 0, 0], [1, 1, 0, 2, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 1, 2, 0], [1, 2, 0, 0, 2, 0]]",,6.009,6.009,click,,8,,1.51362E+12
32ebf2e8,6_hard_full,6,hard,full,wrong,reset,1.51362E+12,233131,1,10000,10000,,,,,0,0,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [2, 2, 1], [3, 2, 2], [2, 3, 1], [2, 0, 2], [2, 4, 1]]",0.996440051,0.00083708,4,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [2, 1, 1, 1, 1, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,51.961,51.961,click,,9,,1.51362E+12
37f61258,6_hard_full,6,hard,full,wrong,reset,1.52208E+12,11162,1,0.828231293,0.828231293,,,,,-9999.171769,-12072.92197,"[[0, 3, 1], [2, 3, 2], [2, 0, 1]]",8.24E-05,1.83E-09,1,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [1, 1, 0, 2, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,2.194,2.194,click,,3,,1.52208E+12
37f61258,6_hard_full,6,hard,full,wrong,reset,1.52208E+12,20456,2,-1,-1,,,,,-16.25,-16.25,"[[0, 3, 1], [3, 0, 2]]",1,0.221564526,2,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,1.936,1.936,click,,2,,1.52208E+12
38ebbf94,6_hard_full,6,hard,full,wrong,reset,1.5136E+12,63197,2,-15.25,-15.25,,,,,-27.33333333,-1.792349727,"[[3, 0, 1], [0, 3, 2]]",1,0.175556652,1,"[[0, 2, 0, 2, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [1, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,4.404,4.404,click,,2,,1.5136E+12
38ebbf94,6_hard_full,6,hard,full,wrong,reset,1.5136E+12,113838,2,-5.942743764,-5.942743764,,,,,-22.08274376,-3.715917199,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [2, 2, 1], [3, 2, 2], [4, 2, 1], [2, 0, 2], [4, 0, 1], [4, 3, 2], [2, 3, 1], [2, 4, 2]]",1,1.07E-12,2,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [2, 1, 1, 1, 2, 0], [2, 1, 2, 2, 0, 0], [1, 1, 1, 2, 0, 0], [0, 2, 0, 0, 2, 0]]",,5.078,5.078,click,,12,,1.5136E+12
38ebbf94,6_hard_full,6,hard,full,wrong,reset,1.5136E+12,136195,1,-10000,-10000,,,,,0,0,"[[0, 2, 1], [2, 2, 2], [0, 3, 1]]",0.043478261,0.000432788,3,"[[0, 2, 1, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 2, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,4.387,4.387,click,,3,,1.5136E+12
38ebbf94,6_hard_full,6,hard,full,wrong,reset,1.5136E+12,148682,2,-1,-1,,,,,-12,-12,"[[2, 2, 1], [0, 2, 2], [0, 3, 1], [3, 0, 2]]",1,1.35E-08,4,"[[0, 2, 2, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 0, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,2.683,2.683,click,,4,,1.5136E+12
38ebbf94,6_hard_full,6,hard,full,wrong,reset,1.5136E+12,176051,1,11,11,,,,,12,1.090909091,"[[2, 2, 1], [3, 2, 2], [0, 3, 1], [3, 0, 2], [0, 2, 1]]",0.001092947,3.23E-11,5,"[[0, 2, 1, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 0, 0, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,5.299,5.299,click,,5,,1.5136E+12
3af4bfbb,6_hard_full,6,hard,full,wrong,reset,1.52199E+12,125668,2,-10000,-10000,,,,,0,0,"[[3, 2, 1], [2, 2, 2], [4, 4, 1], [0, 0, 2]]",0.497690616,0.001126121,1,"[[2, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 2, 0, 0, 0], [0, 1, 1, 2, 0, 0], [0, 1, 0, 0, 1, 0], [0, 2, 0, 0, 2, 0]]",,1.783,1.783,click,,4,,1.52199E+12
3af4bfbb,6_hard_full,6,hard,full,wrong,reset,1.52199E+12,172692,1,10000,10000,,,,,10002.484,1.0002484,"[[2, 3, 1], [3, 2, 2], [2, 2, 1]]",0.991692605,2.99E-05,2,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 1, 0, 0], [0, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,10.552,10.552,click,,3,,1.52199E+12
3bb613b2,6_hard_full,6,hard,full,wrong,reset,1.52208E+12,111626,1,-10000,-10000,,,,,0,0,"[[2, 3, 1], [2, 2, 2], [4, 4, 1]]",0.043478261,0.005273337,1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 2, 1, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 1, 0], [0, 2, 0, 0, 2, 0]]",,7.532,7.532,click,,3,,1.52208E+12
3bb613b2,6_hard_full,6,hard,full,wrong,reset,1.52208E+12,131459,2,-10000,-10000,,,,,-10005.45712,-1.000545712,"[[2, 2, 1], [2, 3, 2]]",0.990355688,0.078521075,2,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,3.487,3.487,click,,2,,1.52208E+12
3bb613b2,6_hard_full,6,hard,full,wrong,reset,1.52208E+12,143556,2,-10000,-10000,,,,,-10008.43039,-1.000843039,"[[2, 3, 1], [2, 2, 2]]",0.990227648,0.121286762,3,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 2, 1, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,3.583,3.583,click,,2,,1.52208E+12
3bb613b2,6_hard_full,6,hard,full,wrong,reset,1.52208E+12,211261,1,10000,10000,,,,,10008.15747,1.000815747,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [2, 2, 1], [3, 2, 2], [2, 3, 1]]",0.996187988,0.015121277,4,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [0, 1, 1, 1, 0, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,8.764,8.764,click,,7,,1.52208E+12
3cd60baf,6_hard_full,6,hard,full,wrong,reset,1.52208E+12,69399,2,-10000,-10000,,,,,-10005.45712,-1.000545712,"[[2, 2, 1], [2, 3, 2]]",0.990355688,0.078521075,1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,18.097,18.097,click,,2,,1.52208E+12
3cd60baf,6_hard_full,6,hard,full,wrong,reset,1.52208E+12,87304,2,-10000,-10000,,,,,-10008.43039,-1.000843039,"[[2, 3, 1], [2, 2, 2]]",0.990227648,0.121286762,2,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 2, 1, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,11.01,11.01,click,,2,,1.52208E+12
3cd60baf,6_hard_full,6,hard,full,wrong,reset,1.52208E+12,371221,1,10000,10000,,,,,0,0,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [2, 2, 1], [3, 2, 2], [2, 3, 1], [2, 4, 2], [2, 0, 1]]",0.997611008,0.000838064,3,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [1, 1, 1, 1, 2, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,172.075,172.075,click,,9,,1.52208E+12
3df11bae,6_hard_full,6,hard,full,validatedCorrect,reset,1.51192E+12,236009,1,0.737847222,0.737847222,,,,,10000.73785,13553.94118,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [4, 2, 1], [4, 3, 2], [2, 0, 1], [2, 2, 2], [3, 2, 1]]",7.37E-05,9.92E-15,1,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [1, 1, 2, 0, 0, 0], [2, 1, 1, 2, 0, 0], [0, 1, 1, 2, 0, 0], [0, 2, 0, 0, 2, 0]]",,2.971,2.971,click,,9,,1.51192E+12
3df11bae,6_hard_full,6,hard,full,validatedCorrect,reset,1.51192E+12,288340,2,-10000,-10000,,,,,0,0,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [2, 2, 2], [0, 0, 1], [4, 4, 2]]",0.990954989,0.004121953,2,"[[1, 2, 0, 2, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 2, 1, 0, 0], [1, 1, 0, 2, 0, 0], [0, 1, 0, 0, 2, 0], [0, 2, 0, 0, 2, 0]]",,1.809,1.809,click,,6,,1.51192E+12
3df11bae,6_hard_full,6,hard,full,validatedCorrect,reset,1.51192E+12,435210,1,10000,10000,,,,,0,0,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [2, 2, 1], [3, 2, 2], [2, 3, 1], [2, 0, 2], [2, 4, 1]]",0.996440051,0.00083708,3,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [2, 1, 1, 1, 1, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,71.838,71.838,click,,9,,1.51192E+12
3ed61f8d,6_hard_full,6,hard,full,solvedCorrect,reset,1.52208E+12,40404,1,15.25,15.25,,,,,15.25,1,"[[0, 3, 1]]",0.221564526,0.221564526,1,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,24.578,24.578,click,,1,,1.52208E+12
