userid,board_name,board_size,board_type,condition,fitted_heuristic,blocking_score,win_score,density,linear,non-linear,interaction,blocking,interaction_blind,blocking_blind
11d4bf94,6_hard_full,6,hard,full,density,0.05,25,-2.140807053628735,-4.178546937011559,-4.048019397479606,-4.379864924153154,-4.375937562578413,-3.2698178467245507,-3.281744966618749
14b4c043,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.3725198896799733,-2.467861918427501,-2.3774385836185776,-2.182781016388548,-2.238214678506461,-1.865621526469333,-1.9018749450866814
14c5dc72,6_hard_full,6,hard,full,blocking,0.05,25,-2.7490556951953544,-2.056149735744952,-1.937221468638385,-1.7883739811876165,-1.7499511791824123,-1.9464427096763703,-1.9269970544565533
17b4c1ea,6_hard_full,6,hard,full,blocking,0.05,25,-2.5565258122476497,-1.8857393148283703,-1.7191463836506273,-1.5148741525157376,-1.5039024385629176,-1.941059604329361,-1.9525800371637763
17e120dd,6_hard_full,6,hard,full,interaction,0.05,25,-2.7388625578787034,-2.3663987039522403,-2.3001167507164952,-2.151284265330298,-2.1804943981837934,-2.4904326729677564,-2.5028705943148513
18dac9ef,6_hard_full,6,hard,full,density,0.05,25,-2.5566125877575048,-3.3157915244573544,-3.0412048241848977,-3.119803451637112,-2.9904036154228453,-3.014538280015759,-2.88529618272202
20bfd7bd,6_hard_full,6,hard,full,non-linear,0.05,25,-2.0073169387672207,-1.9793080973733137,-1.870179762728322,-1.905915954718775,-1.9157891164941598,-1.9390162471683918,-1.9855575339447902
22dac859,6_hard_full,6,hard,full,blocking_blind,0.05,25,-3.251284175896118,-3.151747884543667,-3.1616929367855566,-3.0645375357126317,-3.0814924580899645,-2.5237225894780466,-2.498289505319613
24a5e25a,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.661612525655802,-2.442049095093792,-2.32740237969991,-2.3023094490414517,-2.2806113366716243,-1.6519231782628971,-1.6115985902120147
24b61c03,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.5079527035482005,-2.8819885040713773,-2.785356334222003,-2.966230361157423,-2.999705712957046,-2.382238891510971,-2.400714623001742
24f4c091,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.872998688236282,-2.3846615761333267,-2.2837195837762883,-2.136292690645902,-2.1130327041016357,-1.7496494552838293,-1.72504889519491
25a611ff,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.7850112422383386,-3.1135153092103742,-2.6621867843090286,-2.2629481968534977,-2.109121576884043,-2.1839266743017083,-2.022582856672369
25b60fb4,6_hard_full,6,hard,full,density,0.05,25,-3.5933430824836012,-4.735065618461886,-4.946451001873724,-5.140194124702813,-5.129113833783654,-5.239832432995411,-5.207919961580242
25c4c0ab,6_hard_full,6,hard,full,non-linear,0.05,25,-2.221814856561303,-1.7221586015965673,-1.657902815482473,-1.8033142062341787,-1.7751511161584854,-2.0009826494877814,-1.9715991551649257
26dbf6e9,6_hard_full,6,hard,full,interaction,0.05,25,-2.524727380373186,-1.9324009445749035,-1.7544894529120987,-1.4324523210421491,-1.4342123648055336,-1.480569850407356,-1.4421581344130785
31e63b91,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.867852517048781,-2.5673293731688807,-2.548871491708715,-2.4654195524081626,-2.4540567738034844,-2.250921090989131,-2.260944472097831
32ebf2e8,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.841290147703797,-2.031602777057406,-1.9398409597705166,-1.9252301592655316,-1.9151657558918684,-1.8242091427269669,-1.799953159711807
37f60bbc,6_hard_full,6,hard,full,interaction,0.05,25,-2.315007612992603,-2.5745188084776873,-2.532975052829022,-2.3052190658690557,-2.3498971573262377,-2.425239570502255,-2.477469853170975
37f61258,6_hard_full,6,hard,full,density,0.05,25,-2.700295575148155,-4.08529549975011,-3.933288190730395,-3.9321033742464153,-3.845519547276323,-3.8330017920187616,-3.746780621149488
38ebbf94,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.706747860127902,-2.0128252083440508,-1.901055552431167,-1.9549174266705316,-1.9002902629167981,-1.8164398377123867,-1.7269200968945075
3af4bfbb,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.4514190188021567,-2.396253288913693,-2.2958390285284085,-1.9929420128988087,-2.056210036778514,-1.817130417653006,-1.86518141650979
3bb613b2,6_hard_full,6,hard,full,blocking,0.05,25,-2.907284638701166,-1.8465532644117086,-1.6563404195854126,-1.2589902728511935,-1.2461332731044228,-1.379742628413939,-1.358933092975858
3cd60baf,6_hard_full,6,hard,full,interaction,0.05,25,-2.551076756512752,-1.8359251805355223,-1.6415742538502736,-1.2692594449188792,-1.271037419610496,-1.2987346442306844,-1.287799864502028
3df11bae,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.7920721390665304,-2.0911059092190585,-1.9533935047091529,-1.8227050579189434,-1.782599778020324,-1.7014209102995872,-1.661342384547947
3ed61f8d,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.7850112422383386,-3.1135153092103742,-2.6621867843090286,-2.2629481968534977,-2.109121576884043,-2.1839266743017083,-2.022582856672369
43c60cd9,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.644509002237992,-2.2511881645030534,-2.100743826873557,-1.8963699728992822,-1.8755862587363343,-1.6046950417575059,-1.5640813950774768
44a4fa14,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.7271753738015536,-2.5290654863881654,-2.418038045383116,-2.2637047226260814,-2.327509455089294,-1.8743770892765994,-1.9341253858668348
47f614be,6_hard_full,6,hard,full,blocking,0.05,25,-2.7820312376271916,-2.4042550728265093,-2.2582389423733993,-2.112879002355228,-2.0821517590124956,-2.2440272156579963,-2.201711901312807
49e6113d,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.983008848508472,-1.8520238441154981,-1.6720341428575882,-1.4454055491324191,-1.3754091179366001,-1.3486750058997428,-1.2629372912445758
4af5df5d,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.5867367595915907,-2.6983363862030942,-2.671125584831683,-2.5402778081287867,-2.609943343462549,-1.6890199983728937,-1.724401976393736
4ed4c1d3,6_hard_full,6,hard,full,blocking,0.05,25,-2.81994892053435,-1.9149345573568146,-1.7360403975226815,-1.508128609249401,-1.4696517418110857,-1.5863925552872324,-1.543137407949404
50c60ba6,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.889582270960689,-1.532518027075026,-1.2996283147084189,-0.9619315065237072,-0.9166220121188978,-0.910309731459987,-0.8647619958365133
53c4c041,6_hard_full,6,hard,full,interaction,0.05,25,-2.949320049920037,-2.304270045613785,-2.190816794627266,-1.954048250098794,-1.9896513431299827,-2.1376086847696527,-2.1527586228200946
54f4bf95,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.562400217695247,-1.7305578444222898,-1.5272633445209982,-1.1933929539304964,-1.1825100120354601,-1.1830554742244026,-1.1653843452115615
55f5fe54,6_hard_full,6,hard,full,non-linear,0.05,25,-2.696707902070021,-2.4924966829295174,-2.3754160089445824,-2.487718201277279,-2.4093247105017617,-3.272275254412776,-3.2495000078187357
57a4bf4b,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.537872235259667,-1.6830855699963987,-1.4879196157024106,-1.247795676311005,-1.2261623403581783,-1.197688453022101,-1.1782502111079758
5ce612bc,6_hard_full,6,hard,full,density,0.05,25,-2.550339284173777,-2.999159754709546,-2.869941528088996,-2.885768829126339,-2.825710365860974,-2.6660169348556804,-2.610701722238409
