board,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
10_easy_full,paths_linear_square_opp,paths,False,False,1,square,2,True,50,56,0,"[[0.014218009478672985, 0.014218009478672985, 0.014218009478672985, 0.014218009478672985, -1e-05, 0.023696682464454975, -2e-05, 0.014218009478672985, 0.014218009478672985, 0.014218009478672985], [0.014218009478672985, 0.014218009478672985, 0.014218009478672985, 0.014218009478672985, -2e-05, -1e-05, -1e-05, -1e-05, 0.02843601895734597, 0.02843601895734597], [0.014218009478672985, 0.014218009478672985, 0.014218009478672985, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.014218009478672985, 0.014218009478672985], [0.014218009478672985, 0.014218009478672985, 0.014218009478672985, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.014218009478672985, 0.014218009478672985, -1e-05, 0.014218009478672985, -2e-05, -2e-05, 0.014218009478672985, 0.014218009478672985, 0.023696682464454975], [-1e-05, 0.014218009478672985, 0.014218009478672985, 0.014218009478672985, 0.004739336492890996, 0.004739336492890996, 0.014218009478672985, 0.014218009478672985, 0.014218009478672985, 0.014218009478672985], [-1e-05, -1e-05, 0.018957345971563982, 0.018957345971563982, 0.009478672985781991, 0.009478672985781991, 0.014218009478672985, 0.014218009478672985, 0.014218009478672985, 0.014218009478672985], [-2e-05, -2e-05, 0.014218009478672985, 0.014218009478672985, 0.014218009478672985, 0.014218009478672985, -1e-05, 0.014218009478672985, 0.014218009478672985, 0.014218009478672985], [0.014218009478672985, 0.014218009478672985, 0.014218009478672985, 0.014218009478672985, 0.014218009478672985, 0.014218009478672985, -1e-05, 0.018957345971563982, 0.014218009478672985, 0.014218009478672985], [0.014218009478672985, 0.014218009478672985, 0.014218009478672985, 0.014218009478672985, 0.014218009478672985, -2e-05, -2e-05, -2e-05, 0.014218009478672985, 0.014218009478672985]]"
10_easy_pruned,paths_linear_square_opp,paths,False,False,1,square,2,True,50,56,0,"[[0.013986013986013986, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, -1e-05, -2e-05, -2e-05, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986], [0.02097902097902098, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, -2e-05, -1e-05, -1e-05, -1e-05, 0.04195804195804196, 0.04195804195804196], [0.013986013986013986, 0.02097902097902098, 0.013986013986013986, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.013986013986013986, 0.013986013986013986], [0.013986013986013986, 0.013986013986013986, 0.013986013986013986, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.013986013986013986, 0.013986013986013986, -1e-05, 0.013986013986013986, -2e-05, -2e-05, 0.013986013986013986, 0.013986013986013986, -1e-05], [-1e-05, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, 0.006993006993006993, 0.006993006993006993, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986], [-1e-05, -1e-05, 0.02097902097902098, 0.02097902097902098, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986], [-2e-05, -2e-05, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, -1e-05, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986], [0.013986013986013986, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, -1e-05, 0.02097902097902098, 0.013986013986013986, 0.013986013986013986], [0.013986013986013986, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, 0.013986013986013986, -2e-05, -2e-05, -2e-05, 0.013986013986013986, 0.013986013986013986]]"
10_hard_full,paths_linear_square_opp,paths,False,False,1,square,2,True,50,66,0,"[[0.009345794392523364, 0.009345794392523364, 0.009345794392523364, -2e-05, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364], [0.028037383177570093, 0.009345794392523364, 0.009345794392523364, -1e-05, 0.009345794392523364, -2e-05, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364], [0.009345794392523364, -2e-05, -2e-05, 0.009345794392523364, 0.009345794392523364, -1e-05, -1e-05, 0.009345794392523364, -2e-05, 0.009345794392523364], [0.009345794392523364, 0.009345794392523364, -2e-05, -1e-05, -2e-05, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364], [0.028037383177570093, -1e-05, -1e-05, 0.12149532710280374, 0.009345794392523364, 0.11214953271028037, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364], [0.009345794392523364, -1e-05, -1e-05, 0.028037383177570093, -2e-05, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364], [0.009345794392523364, 0.009345794392523364, -1e-05, 0.009345794392523364, -2e-05, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364], [0.009345794392523364, 0.009345794392523364, -1e-05, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364], [0.009345794392523364, 0.009345794392523364, -2e-05, 0.018691588785046728, 0.009345794392523364, -2e-05, -2e-05, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364], [0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, -1e-05, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364]]"
10_hard_pruned,paths_linear_square_opp,paths,False,False,1,square,2,True,50,66,0,"[[0.009523809523809525, 0.009523809523809525, 0.01904761904761905, -2e-05, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525], [0.02857142857142857, 0.009523809523809525, 0.009523809523809525, -1e-05, 0.009523809523809525, -2e-05, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525], [0.009523809523809525, -2e-05, -2e-05, 0.01904761904761905, -1e-05, -1e-05, -1e-05, 0.01904761904761905, -2e-05, 0.009523809523809525], [0.01904761904761905, 0.009523809523809525, -2e-05, -1e-05, -2e-05, 0.02857142857142857, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525], [0.009523809523809525, -1e-05, -1e-05, 0.08571428571428572, 0.009523809523809525, 0.0761904761904762, 0.01904761904761905, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525], [0.009523809523809525, -1e-05, -1e-05, 0.01904761904761905, -2e-05, 0.009523809523809525, 0.009523809523809525, 0.02857142857142857, 0.009523809523809525, 0.009523809523809525], [-2e-05, 0.009523809523809525, -1e-05, 0.01904761904761905, -2e-05, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525], [0.009523809523809525, 0.009523809523809525, -1e-05, 0.009523809523809525, 0.01904761904761905, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525], [0.009523809523809525, 0.009523809523809525, -2e-05, 0.01904761904761905, 0.009523809523809525, -2e-05, -2e-05, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525], [0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, -1e-05, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525]]"
10_medium_full,paths_linear_square_opp,paths,False,False,1,square,2,True,50,36,0,"[[0.0106951871657754, 0.0106951871657754, 0.016042780748663103, 0.0106951871657754, 0.0106951871657754, 0.0106951871657754, 0.0106951871657754, 0.0106951871657754, 0.0106951871657754, 0.0106951871657754], [0.0106951871657754, 0.0106951871657754, 0.0213903743315508, 0.0106951871657754, 0.0106951871657754, 0.0106951871657754, 0.0106951871657754, 0.0106951871657754, 0.0106951871657754, 0.0106951871657754], [0.0106951871657754, 0.0106951871657754, -1e-05, 0.0106951871657754, 0.0106951871657754, -2e-05, 0.0106951871657754, 0.0106951871657754, 0.0106951871657754, 0.0106951871657754], [0.0213903743315508, 0.0213903743315508, 0.0213903743315508, -1e-05, -1e-05, 0.016042780748663103, 0.016042780748663103, 0.0106951871657754, 0.0106951871657754, 0.0106951871657754], [0.0106951871657754, 0.026737967914438502, 0.0106951871657754, 0.0053475935828877, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.0106951871657754], [0.0106951871657754, 0.016042780748663103, 0.026737967914438502, 0.0053475935828877, 0.016042780748663103, -1e-05, -2e-05, -2e-05, 0.0106951871657754, 0.0106951871657754], [0.0106951871657754, 0.0106951871657754, 0.0213903743315508, -1e-05, 0.0213903743315508, -2e-05, 0.0106951871657754, 0.0106951871657754, 0.0106951871657754, 0.0106951871657754], [0.0106951871657754, 0.0106951871657754, 0.0106951871657754, 0.0106951871657754, -1e-05, -1e-05, 0.0053475935828877, 0.0106951871657754, 0.0106951871657754, 0.0106951871657754], [0.0106951871657754, 0.0106951871657754, 0.0106951871657754, 0.0106951871657754, 0.0106951871657754, -1e-05, 0.026737967914438502, 0.0106951871657754, 0.0106951871657754, 0.0106951871657754], [0.0106951871657754, 0.0106951871657754, 0.0106951871657754, 0.0106951871657754, 0.0106951871657754, 0.0106951871657754, -2e-05, 0.0106951871657754, 0.0106951871657754, 0.0106951871657754]]"
10_medium_pruned,paths_linear_square_opp,paths,False,False,1,square,2,True,50,27,0,"[[0.011363636363636364, 0.011363636363636364, 0.028409090909090908, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364], [0.011363636363636364, 0.011363636363636364, 0.028409090909090908, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364], [0.011363636363636364, 0.011363636363636364, -1e-05, 0.011363636363636364, 0.011363636363636364, -2e-05, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364], [0.022727272727272728, 0.022727272727272728, -1e-05, -1e-05, -1e-05, -2e-05, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364], [0.011363636363636364, 0.017045454545454544, 0.011363636363636364, 0.017045454545454544, -2e-05, -2e-05, -2e-05, -1e-05, -2e-05, 0.011363636363636364], [0.011363636363636364, 0.011363636363636364, 0.022727272727272728, 0.005681818181818182, 0.011363636363636364, -1e-05, -2e-05, -2e-05, 0.011363636363636364, 0.011363636363636364], [0.011363636363636364, 0.011363636363636364, 0.022727272727272728, -1e-05, 0.011363636363636364, -2e-05, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364], [0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.017045454545454544, -1e-05, -1e-05, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364], [0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, -1e-05, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364], [0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364, -2e-05, 0.011363636363636364, 0.011363636363636364, 0.011363636363636364]]"
6_easy_full,paths_linear_square_opp,paths,False,False,1,square,2,True,50,24,1,"[[0.05263157894736842, -1e-05, 0.017543859649122806, -2e-05, 0.05263157894736842, 0.05263157894736842], [0.05263157894736842, -2e-05, -1e-05, -1e-05, 0.03508771929824561, 0.03508771929824561], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.05263157894736842], [-2e-05, 0.12280701754385964, -1e-05, -1e-05, -2e-05, 0.017543859649122806], [-1e-05, 0.05263157894736842, -2e-05, -2e-05, 0.05263157894736842, 0.07017543859649122], [0.05263157894736842, 0.05263157894736842, 0.07017543859649122, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842]]"
6_easy_pruned,paths_linear_square_opp,paths,False,False,1,square,2,True,49,12,1,"[[0.06060606060606061, -1e-05, -2e-05, -2e-05, 0.06060606060606061, 0.06060606060606061], [0.06060606060606061, -2e-05, -1e-05, -1e-05, 0.030303030303030304, 0.030303030303030304], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.06060606060606061], [-2e-05, 0.06060606060606061, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.06060606060606061, -2e-05, -2e-05, 0.06060606060606061, 0.09090909090909091], [0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061]]"
6_hard_full,paths_linear_square_opp,paths,False,False,1,square,2,True,50,17,0,"[[0.08, -2e-05, 0.04, 0.04, -1e-05, 0.02], [0.02, -2e-05, -1e-05, -2e-05, 0.06, 0.02], [0.06, -1e-05, 0.06, 0.02, 0.02, 0.02], [0.02, -1e-05, 0.08, -2e-05, 0.04, 0.02], [0.02, -1e-05, 0.06, 0.04, 0.08, 0.02], [0.02, -2e-05, 0.04, 0.08, -2e-05, 0.02]]"
6_hard_pruned,paths_linear_square_opp,paths,False,False,1,square,2,True,50,17,0,"[[0.10869565217391304, -2e-05, 0.043478260869565216, -1e-05, -1e-05, 0.021739130434782608], [0.021739130434782608, -2e-05, -1e-05, -2e-05, 0.043478260869565216, 0.021739130434782608], [0.043478260869565216, -1e-05, 0.043478260869565216, 0.021739130434782608, 0.043478260869565216, 0.021739130434782608], [-2e-05, -1e-05, 0.10869565217391304, -2e-05, 0.021739130434782608, 0.021739130434782608], [0.043478260869565216, -1e-05, 0.08695652173913043, 0.06521739130434782, 0.06521739130434782, 0.021739130434782608], [0.021739130434782608, -2e-05, 0.043478260869565216, 0.043478260869565216, -2e-05, 0.021739130434782608]]"
