userid,curr_user_nodes,curr_user_num_paths,curr_user_sum_depth,curr_user_undo,curr_user_restart
9dc50a3d,70,19,85,6,12
92b722f3,33,27,94,26,0
a2f6ba1d,6,2,6,0,2
b7a4fe27,9,1,9,0,0
fac10d6e,26,6,40,2,3
c7a67aab,51,11,51,0,11
44a4fa14,5,1,5,0,0
3df11bae,24,3,24,0,3
bae515f2,13,2,13,0,1
dfe6bee3,34,9,45,2,7
eec7360c,9,2,9,0,1
94d6ef33,50,20,58,6,14
dbe71b15,14,5,17,2,2
c8a4fa50,54,24,80,15,8
dcc4f10e,15,3,15,0,2
bcdfd2df,52,8,59,1,6
6bf51f66,11,7,19,6,0
17e120dd,40,21,94,15,6
91cfd7fb,45,32,112,29,3
b0d518a1,67,24,77,4,19
20bfd7bd,10,2,10,0,1
bed50a1d,25,5,25,0,5
8fc76287,58,10,68,2,8
87b50908,29,7,29,0,7
9adbc2df,15,5,15,0,4
efebc5bb,9,2,9,0,1
38ebbf94,29,6,29,0,5
f1ebd0b7,1,1,1,0,0
5edbbf73,13,9,38,8,0
f6fbf6b1,89,38,281,28,9
26dbf6e9,14,3,14,0,2
8fcbec83,39,11,39,0,10
32ebf2e8,31,4,31,0,3
f3dbeb7e,23,6,25,1,4
dfcbf407,13,3,28,2,0
22dac859,71,64,380,63,0
69bad0fe,85,35,190,18,16
67eac875,49,8,49,0,7
18dac9ef,5,1,5,0,0
